coop,lat,lon,status,activities,address,flocert,type
ECOPADI COOP-CA - Blommer/OLAM,5.84034,-5.37079,Nestle supplier associated with Blommer/Olam. Also certified Fair Trade and UTZ producer.,"production, storage, processing, commercialization","BP 445 Divo, Divo, Ivory Coast",FLO ID 38176,dual
COOP SECA CA - Cargill  (Société Entente Coopérative d'Alikro),5.68497,-6.07056,Nestle supplier associated with Cargill. Also certified Fair Trade producer.,"collection, commercialization","BP 290 Gueyo, Gueyo, Ivory Coast",FLO ID 32765,dual
CANN COOP CA - Cargill  (Coopérative Agricole NZRAMA de N'DOUCI),5.86757,-4.75648,Nestle supplier associated with Cargill. Also certified Fair Trade producer.,production,"Rue de la scierie, Axe Ndouci-Sikensi, Ndouci, Ivory Coast",FLO ID 18716,dual
SCOOP CASO - Cargill  (Societe Cooperative Agricole de Songan),6.01366,-3.19051,Nestle supplier associated with Cargill,"production, collection, storage, processing, commercialization","Bianouan, Côte d'Ivoire",,nestle
SOCAYEMA COOP CA - Cargill  (Société Coopérative Yehoulo-Yehon de Mafere),5.47451,-3.20307,Nestle supplier associated with Cargill. Also certified Fair Trade producer.,production,"BP1008 Aboisso, Mafere, Ivory Coast",FLO ID 37977,dual
COOP-CA COOPADOU - Cargill  (Societe Cooperative Agricole de Cantondougou),4.75786,-6.64243,Nestle supplier associated with Cargill,"production, collection, sales, commercialization","San-Pedro, Côte d'Ivoire",,nestle
SOCODD - Cargill  (Société Coopérative Dialogue Djekanou),6.48458,-5.1161,Nestle supplier associated with Cargill. Also certified Fair Trade producer.,production,"BP 68 Toumodi Djakanou, Ivory Coast",FLO ID 30903,dual
SCAET-SCOOPS - Cargill,6.91986,-8.20489,Nestle supplier associated with Cargill,"production, collection, storage, commercialization","Zouan-Hounien, Côte d'Ivoire",,nestle
CPP-CA LCAG COOP-CA - Cargill  (Societe Cooperative Agricole Loyale de Guitry),5.52292,-5.24233,Nestle supplier associated with Cargill,"collection, storage, distribution, processing, commercialization","Guitri, Côte d'Ivoire",,nestle
  UCODEL COOP-CA - Cargill,5.85064,-5.68087,Nestle supplier associated with Cargill,,"Unnamed Road, Lakota, Côte d'Ivoire",,nestle
 SOCOOPEM COOP-CA - Cargill,4.78013,-6.64751,Nestle supplier associated with Cargill,,"QUARTIER SAUTREF, En Face de SAF CACAO ET PETROCI, San-Pédro, Côte d'Ivoire",,nestle
 SCAES COOP-CA - Cargill  (Cooperative Agricole Entente Soutra de Meagui),5.40895,-6.56064,Nestle supplier associated with Cargill,"collection, commercialization",Côte d'Ivoire,,nestle
Cemoi Cote d'Ivoire,5.3691636,-4.0984966,certified Fair Trade producer and trader,"production, processing, commercialization","Yopougon Zone Industrial, Abidjan, Ivory Coast",FLO ID 33178,certified
Zamacom S.A.,5.2666931,-4.0109406,certified Fair Trade trader,commercialization,"Abidjan-Vridi, Zone Industrielle, face RADCI, Abidjan, Ivory Coast",FLO ID 19167,certified
COOPAAAKO  (Coopérative Agricole Abocanin d'Akoupe),5.4813951,-4.1627295,certified Fair Trade producer,production,"Akoupe A 50 M de la Station Texaco, ABIDJAN VGE IMM DUNES OUEST 2è ETAGE, Abidjan, Ivory Coast",FLO ID 19452,certified
Cargill West Africa,5.279466,-4.0112859,certified Fair Trade trader,commercialization,"01 BP V215 Abidjan 01, Abidjan, Ivory Coast",FLO ID 22035,certified
